Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
,St-petersburg,,,,,,,
,Turin,,"7,6667","45,0667",,,,7005688
,Madrid,,"-3,6833","40,4",,,,7010420
,Rome,,"12,5","41,8833",,,,7000874
,Nagykoeroes,,,,,,,
,Sárospatak,,"21,5","48,3167",,,,7010509
,Kecskemét,,"19,7167","46,9333",,,,7010482
,Kisujszállás,,,,,,,
,Karcag,,"20,8833","47,3167",,,,1042367
,Aszód,,"19,45","47,6667",,,,1042276
,Kecskemet,,,,,,,
,Czegléd,,,,,,,
,Halas,,"19,4833","46,4333",,,,7010485
,Gyoenk,,,,,,,
,Pest-ofen,,,,,,,
,Kremsmuenster,,,,,,,
,Hermannseifen,,,,,,,
,Loeffingen,,,,,,,
,Mittenwald,,"11,2833","47,45",,,,7004702
,Hildesheim,,"9,9667","52,15",,,,7005248
,Dueren,,,,,,,
,Preßburg,,,,,,,
,Mattersdorf,,,,,,,
,Pullendorf,,,,,,,
,Ungarisch-altenburg,,,,,,,
,Neusiedl-am-see,,,,,,,
,Huens,,,,,,,
,Ossnitz,,,,,,,
,Guessing,,,,,,,
,Oberwarth,,,,,,,
,Pecsvard,,,,,,,
,Mohacs,,,,,,,
,Bonghás,,,,,,,
,Tamasi,,,,,,,
,Leutschau,,"20,5833","49,0167",,,,7011691
,Bartfeld,,,,,,,
,Beregszasz,,,,,,,
,Alsóverecke,,,,,,,
,Munkatschewe,,,,,,,
,Nagy-berezna,,,,,,,
,Tiba,,"140,1167","35,6333",,,,7004243
,Homonna,,,,,,,
,Papina,,,,,,,
,Sztropko,,,,,,,
,Galszecs,,,,,,,
,Varanno,,,,,,,
,Nagy-mihály,,,,,,,
,Nagy-roecze,,,,,,,
,Rima-brezo,,,,,,,
,Torna,,"44,2","68,0333",,,,1060405
,Szikszo,,,,,,,
,Szanto,,,,,,,
,Kaczony,,,,,,,
,Halmi,,,,,,,
,Kis-almas,,,,,,,
,Tornallya,,,,,,,
,Nagy-kapos,,,,,,,
,Szerencz,,,,,,,
,Tokay,,"-119,35","36,55",,,,2723822
,Kiraly-helmecz,,,,,,,
,Myslie,,,,,,,
,Szepsi,,,,,,,
,Nagy-szoelloes,,,,,,,
,Rosenau,,,,,,,4009429
,Marmaros-szigeth,,,,,,,
,Saros-patak,,,,,,,
,Rouen,,"1,0833","49,4333",,,,7008929
,Freiburg,,"7,85",48,,,,1003143
,Holleschau,,,,,,,
,Bad-homburg,,,,,,,
,Boppard-am-rhein,,,,,,,
,Boulogne-sur-mer,,,,,,,
,Cattaro,,"18,7667","42,45",,,,7015404
,Sebenico,,"15,9167","43,75",,,,7015447
,Trau,,"16,25","43,5333",,,,7015545
,Makarska,,"17,0167","43,3167",,,,7015543
,Lesina,,"15,3667","41,8667",,,,1045071
,Eurzola,,,,,,,
,Goito,,"10,6667","45,2667",,,,7005896
,Marseille,,"5,3667","43,3",,,,7008781
,Kaiserstadt,,,,,,,
,Aigen,,"13,9833","48,65",,,,1025385
,Aachen,,"6,1","50,7667",,,,7004799
,Gumpendorf,,,,,,,
,Königgrätz,,"15,8333","50,2167",,,,7012051
,Nove-mesto-nad-metuji,,,,,,,
,Diakovar,,,,,,,
,Jajce,,"17,2667","44,3333",,,,7015541
,Banja-luka,,,,,,,
,Tešanj,,"17,9833","44,6167",,,,1065281
,Torgau,,13,"51,5667",,,,7012881
,Kremenez,,,,,,,
,Stettin,,"14,5333","53,4167",,,,7007809
,Veszprem,,,,,,,
,Graz-sekau,,,,,,,
,Semmering,,"15,8333","47,6333",,,,7003185
,Pettau,,"15,85","46,45",,,,7012989
,Friedau,,,,,,,
,Luttenberg,,,,,,,
,Radkersburg,,,,,,,
,Straden,,,,,,,
,Riegersburg,,"15,95","47,0167",,,,7003102
,Eisbach,,,,,,,1123674
,O-o-wien,,,,,,,
,Wiens,,,,,,,
,Schellenberg,,"9,542","47,233",,,,7032085
,Drožditz,,,,,,,
,Pardubitz,,,,,,,
,Bohdanetsch,,,,,,,
,Hrochowteinitz,,,,,,,
,Oberjeleni,,,,,,,
,Hostowitz,,,,,,,
,Budetz,,,,,,,
,Gložan,,,,,,,
,Stari-vrbas,,,,,,,
,Risran,,,,,,,
,Novi-sad,,,,,,,
,Kulpin,,,,,,,
,Bački-jarak,,,,,,,
,Nove-šove,,,,,,,
,Schilbesch,,,,,,,
,Bački-maglić,,,,,,,
,Engelszell,,,,,,,
,Passau,,"13,4667","48,5833",,,,7004407
,Mondsee,,"13,35","47,8667",,,,7003277
,Lambach,,"13,8667","48,1",,,,7003278
,Metten,,"12,9333","48,8667",,,,7004403
,Neusatz,,"19,85","45,25",,,,7015328
,Esseg,,"18,6833","45,55",,,,7015337
,Akademie-der-bildenden-kuenste,,,,,,,
,Sydney,,"-112,5667","33,3667",,,,2006594
,Trincomalee,,"81,2167","8,5667",,,,7002519
,Batticaloa,,"81,7","7,7167",,,,1066450
,Newera-ellia,,,,,,,
,Point-galle,,,,,,,
,Adams-peak,,,,,,,
,Belligam,,,,,,,
,Melbourne,,"-1,4167","52,8167",,,,7010685
,Port-jackson,,,,,,,
,Valparaiso,,"-101,2","37,3167",,,,2036831
